Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,A13: Area,B13: Area,C13: Area,D13: Area,E13: Area,F13: Area,G13: Area,H13: Area,I13: Area,J13: Area,K13: Area,L13: Area,M13: Area,N13: Area,O13: Area,Score A10,Coverage A10,# Peptides A10,# PSM A10,Score B10,Coverage B10,# Peptides B10,# PSM B10,Score C10,Coverage C10,# Peptides C10,# PSM C10,Score D10,Coverage D10,# Peptides D10,# PSM D10,Score E10,Coverage E10,# Peptides E10,# PSM E10,Score F10,Coverage F10,# Peptides F10,# PSM F10,Score G10,Coverage G10,# Peptides G10,# PSM G10,Score H10,Coverage H10,# Peptides H10,# PSM H10,Score I10,Coverage I10,# Peptides I10,# PSM I10,Score J10,Coverage J10,# Peptides J10,# PSM J10,Score K10,Coverage K10,# Peptides K10,# PSM K10,Score L10,Coverage L10,# Peptides L10,# PSM L10,Score M10,Coverage M10,# Peptides M10,# PSM M10,Score N10,Coverage N10,# Peptides N10,# PSM N10,Score O10,Coverage O10,# Peptides O10,# PSM O10,# AAs,MW [kDa],calc. pI
Q96QR8,Transcriptional activator protein Pur-beta OS=Homo sapiens OX=9606 GN=PURB PE=1 SV=3 - [PURB_HUMAN],4.17,1,1,1,4,0.000E0,5.217E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,3.161E6,0.000E0,0.000E0,4.946E6,0.000E0,0.000E0,0.000E0,0.000E0,,,,,3.44 ,4.17,1,1,,,,,,,,,,,,,,,,,,,,,3.42 ,4.17,1,1,,,,,,,,,2.29 ,4.17,1,1,,,,,,,,,3.41 ,4.17,1,1,,,,,312,33.2,5.43
O95232,Luc7-like protein 3 OS=Homo sapiens OX=9606 GN=LUC7L3 PE=1 SV=2 - [LC7L3_HUMAN],4.17,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,5.451E6,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,4.17,1,1,,,,,432,51.4,9.79
Q8N183,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 OS=Homo sapiens OX=9606 GN=NDUFAF2 PE=1 SV=1 - [NDUF2_HUMAN],4.14,1,1,1,2,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,3.346E6,0.000E0,0.000E0,4.097E6,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,4.14,1,1,,,,,,,,,0.00 ,4.14,1,1,,,,,,,,,,,,,169,19.8,8.97
P62424,60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2 - [RL7A_HUMAN],4.14,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29 ,4.14,1,1,,,,,266,30.0,10.61
Q96PD2,"Discoidin, CUB and LCCL domain-containing protein 2 OS=Homo sapiens OX=9606 GN=DCBLD2 PE=1 SV=1 - [DCBD2_HUMAN]",4.13,1,3,3,7,0.000E0,0.000E0,6.132E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,9.871E6,0.000E0,0.000E0,9.908E6,0.000E0,0.000E0,0.000E0,,,,,,,,,7.14 ,2.97,2,4,,,,,,,,,,,,,,,,,,,,,3.57 ,3.10,2,2,,,,,,,,,3.85 ,1.94,1,1,,,,,,,,,,,,,775,85.0,7.17
O95819,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=2 - [M4K4_HUMAN],4.12,6,3,5,9,9.912E5,0.000E0,8.336E6,0.000E0,0.000E0,1.161E6,0.000E0,0.000E0,1.091E7,0.000E0,0.000E0,1.130E7,0.000E0,0.000E0,0.000E0,1.89 ,0.65,1,1,,,,,8.40 ,4.12,5,5,,,,,,,,,1.89 ,0.65,1,1,,,,,,,,,4.25 ,1.37,1,1,,,,,,,,,3.72 ,1.37,1,1,,,,,,,,,,,,,1239,142.0,7.46
P15311,Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4 - [EZRI_HUMAN],4.10,1,3,3,7,0.000E0,0.000E0,7.886E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,5.863E6,0.000E0,0.000E0,9.256E6,0.000E0,0.000E0,1.859E6,,,,,,,,,4.65 ,2.73,2,2,,,,,,,,,,,,,,,,,,,,,4.06 ,2.73,2,2,,,,,,,,,4.22 ,2.73,2,2,,,,,,,,,0.00 ,1.37,1,1,586,69.4,6.27
Q9ULJ8,Neurabin-1 OS=Homo sapiens OX=9606 GN=PPP1R9A PE=1 SV=2 - [NEB1_HUMAN],4.10,1,4,4,8,0.000E0,0.000E0,2.180E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,3.822E6,0.000E0,0.000E0,2.964E6,0.000E0,0.000E0,0.000E0,,,,,,,,,1.70 ,3.10,3,3,,,,,,,,,,,,,,,,,,,,,4.61 ,2.09,2,2,,,,,,,,,2.21 ,3.19,3,3,,,,,,,,,,,,,1098,123.3,5.10
P55081,Microfibrillar-associated protein 1 OS=Homo sapiens OX=9606 GN=MFAP1 PE=1 SV=2 - [MFAP1_HUMAN],4.10,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,4.859E6,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77 ,4.10,1,1,,,,,439,51.9,4.98
Q8TA86,Retinitis pigmentosa 9 protein OS=Homo sapiens OX=9606 GN=RP9 PE=1 SV=2 - [RP9_HUMAN],4.07,1,1,1,2,0.000E0,5.012E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,5.260E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,0.00 ,4.07,1,1,,,,,,,,,,,,,,,,,,,,,0.00 ,4.07,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,26.1,9.79
Q96BD0,Solute carrier organic anion transporter family member 4A1 OS=Homo sapiens OX=9606 GN=SLCO4A1 PE=1 SV=2 - [SO4A1_HUMAN],4.02,1,2,2,10,1.080E6,0.000E0,5.087E6,0.000E0,0.000E0,1.375E7,2.645E6,0.000E0,8.134E6,3.665E6,0.000E0,6.914E6,1.560E6,0.000E0,0.000E0,1.96 ,1.39,1,1,,,,,0.00 ,2.63,1,3,,,,,,,,,2.90 ,1.39,1,1,2.81 ,1.39,1,1,,,,,1.71 ,1.39,1,1,2.65 ,1.39,1,1,,,,,2.05 ,1.39,1,1,2.64 ,1.39,1,1,,,,,,,,,722,77.1,7.83
Q9Y234,"Lipoyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=LIPT1 PE=1 SV=1 - [LIPT_HUMAN]",4.02,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.732E4,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,4.02,1,1,,,,,,,,,,,,,373,42.5,8.37
O43865,S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2 - [SAHH2_HUMAN],3.96,4,3,3,6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,4.768E5,0.000E0,0.000E0,7.779E6,0.000E0,0.000E0,7.853E6,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,0.00 ,1.13,1,1,,,,,,,,,2.03 ,2.26,2,2,,,,,,,,,3.80 ,3.96,3,3,,,,,,,,,,,,,530,58.9,6.89
P22061,Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=4 - [PIMT_HUMAN],3.96,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.557E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24 ,3.96,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,24.6,7.21
P15259,Phosphoglycerate mutase 2 OS=Homo sapiens OX=9606 GN=PGAM2 PE=1 SV=3 - [PGAM2_HUMAN],3.95,2,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,7.770E5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,0.00 ,3.95,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,28.7,8.88
Q8IW52,SLIT and NTRK-like protein 4 OS=Homo sapiens OX=9606 GN=SLITRK4 PE=1 SV=1 - [SLIK4_HUMAN],3.94,1,3,3,5,0.000E0,0.000E0,1.008E7,0.000E0,0.000E0,2.226E6,0.000E0,0.000E0,1.153E7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,4.69 ,3.11,2,2,,,,,,,,,1.79 ,0.84,1,1,,,,,,,,,5.11 ,3.11,2,2,,,,,,,,,,,,,,,,,,,,,,,,,837,94.3,7.80
Q14103,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1 - [HNRPD_HUMAN],3.94,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.117E7,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13 ,3.94,1,1,,,,,355,38.4,7.81
Q8IVM0,Coiled-coil domain-containing protein 50 OS=Homo sapiens OX=9606 GN=CCDC50 PE=1 SV=1 - [CCD50_HUMAN],3.92,1,1,1,2,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,4.183E6,0.000E0,0.000E0,5.718E6,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54 ,3.92,1,1,,,,,,,,,2.78 ,3.92,1,1,,,,,,,,,,,,,306,35.8,6.65
Q9NYV4,Cyclin-dependent kinase 12 OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=2 - [CDK12_HUMAN],3.89,22,3,4,6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,3.826E6,0.000E0,0.000E0,0.000E0,1.079E7,0.000E0,6.431E6,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,1.48,1,1,,,,,,,,,,,,,2.29 ,0.54,1,1,,,,,3.84 ,3.89,4,4,,,,,1490,164.1,9.44
Q9NYZ3,G2 and S phase-expressed protein 1 OS=Homo sapiens OX=9606 GN=GTSE1 PE=1 SV=3 - [GTSE1_HUMAN],3.89,1,2,2,2,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.272E6,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,3.89,2,2,,,,,720,76.6,9.39
P55011,Solute carrier family 12 member 2 OS=Homo sapiens OX=9606 GN=SLC12A2 PE=1 SV=1 - [S12A2_HUMAN],3.88,1,3,3,6,0.000E0,0.000E0,7.640E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,6.839E6,0.000E0,0.000E0,4.608E6,0.000E0,0.000E0,0.000E0,,,,,,,,,1.97 ,3.88,3,3,,,,,,,,,,,,,,,,,,,,,3.97 ,2.97,2,2,,,,,,,,,0.00 ,1.32,1,1,,,,,,,,,,,,,1212,131.4,6.40
Q9C0H5,Rho GTPase-activating protein 39 OS=Homo sapiens OX=9606 GN=ARHGAP39 PE=1 SV=2 - [RHG39_HUMAN],3.88,1,3,3,8,0.000E0,0.000E0,2.163E7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.098E7,0.000E0,0.000E0,9.752E6,0.000E0,0.000E0,0.000E0,,,,,,,,,2.77 ,1.29,1,1,,,,,,,,,,,,,,,,,,,,,9.17 ,3.88,3,4,,,,,,,,,7.51 ,2.77,2,3,,,,,,,,,,,,,1083,121.2,7.50
Q6ICB4,Sesquipedalian-2 OS=Homo sapiens OX=9606 GN=FAM109B PE=1 SV=1 - [SESQ2_HUMAN],3.86,1,1,1,1,0.000E0,0.000E0,2.134E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,2.88 ,3.86,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,28.3,7.11
Q15599,Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Homo sapiens OX=9606 GN=SLC9A3R2 PE=1 SV=2 - [NHRF2_HUMAN],3.86,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.909E7,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45 ,3.86,1,1,,,,,,,,,,,,,337,37.4,7.93
Q9ULJ3,Zinc finger and BTB domain-containing protein 21 OS=Homo sapiens OX=9606 GN=ZBTB21 PE=1 SV=2 - [ZBT21_HUMAN],3.85,1,3,3,6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.840E6,0.000E0,0.000E0,2.876E6,0.000E0,0.000E0,4.553E6,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54 ,2.06,2,2,,,,,,,,,4.13 ,2.06,2,2,,,,,,,,,0.00 ,2.91,2,2,,,,,1066,118.8,8.29
Q2NKX8,DNA excision repair protein ERCC-6-like OS=Homo sapiens OX=9606 GN=ERCC6L PE=1 SV=1 - [ERC6L_HUMAN],3.84,1,4,4,8,0.000E0,0.000E0,1.774E6,0.000E0,0.000E0,0.000E0,0.000E0,6.129E6,0.000E0,0.000E0,5.049E6,0.000E0,0.000E0,1.053E7,0.000E0,,,,,,,,,0.00 ,2.08,2,2,,,,,,,,,,,,,,,,,5.13 ,1.60,2,2,,,,,,,,,4.55 ,1.60,2,2,,,,,,,,,3.44 ,2.24,2,2,,,,,1250,141.0,5.31
Q86XP3,ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1 - [DDX42_HUMAN],3.84,1,3,3,3,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,8.139E6,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05 ,3.84,3,3,,,,,938,102.9,7.02
Q99590,Protein SCAF11 OS=Homo sapiens OX=9606 GN=SCAF11 PE=1 SV=2 - [SCAFB_HUMAN],3.83,1,5,5,13,0.000E0,1.261E7,0.000E0,0.000E0,3.016E6,0.000E0,0.000E0,6.977E6,0.000E0,0.000E0,5.634E6,0.000E0,0.000E0,9.456E6,0.000E0,,,,,3.92 ,0.75,1,1,,,,,,,,,2.97 ,0.75,1,1,,,,,,,,,10.63 ,3.83,5,5,,,,,,,,,7.32 ,2.53,3,3,,,,,,,,,5.37 ,2.53,3,3,,,,,1463,164.6,8.41
O15027,Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=3 - [SC16A_HUMAN],3.81,1,7,7,18,0.000E0,8.545E6,3.724E6,0.000E0,1.148E6,3.010E6,0.000E0,6.274E6,2.301E6,0.000E0,8.159E6,3.442E6,0.000E0,1.397E7,0.000E0,,,,,7.76 ,1.38,3,3,1.66 ,0.55,1,1,,,,,2.08 ,0.55,1,1,2.49 ,0.55,1,1,,,,,5.88 ,1.01,2,2,0.00 ,0.55,1,1,,,,,6.34 ,1.01,2,2,0.00 ,0.55,1,1,,,,,13.50 ,3.44,6,6,,,,,2179,233.4,5.63
Q04760,Lactoylglutathione lyase OS=Homo sapiens OX=9606 GN=GLO1 PE=1 SV=4 - [LGUL_HUMAN],3.80,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,9.028E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64 ,3.80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,184,20.8,5.31
A6NIZ1,Ras-related protein Rap-1b-like protein OS=Homo sapiens OX=9606 PE=2 SV=1 - [RP1BL_HUMAN],3.80,4,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.754E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61 ,3.80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,184,20.9,5.48
Q96RL1,BRCA1-A complex subunit RAP80 OS=Homo sapiens OX=9606 GN=UIMC1 PE=1 SV=2 - [UIMC1_HUMAN],3.76,1,3,3,4,0.000E0,3.243E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.389E6,0.000E0,0.000E0,1.757E6,0.000E0,0.000E0,5.783E6,0.000E0,,,,,2.25 ,1.11,1,1,,,,,,,,,,,,,,,,,,,,,0.00 ,1.11,1,1,,,,,,,,,1.85 ,1.11,1,1,,,,,,,,,2.21 ,1.53,1,1,,,,,719,79.7,5.45
Q9NVD7,Alpha-parvin OS=Homo sapiens OX=9606 GN=PARVA PE=1 SV=1 - [PARVA_HUMAN],3.76,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,5.634E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23 ,3.76,1,1,,,,,,,,,,,,,,,,,,,,,,,,,372,42.2,5.95
O00401,Neural Wiskott-Aldrich syndrome protein OS=Homo sapiens OX=9606 GN=WASL PE=1 SV=2 - [WASL_HUMAN],3.76,1,2,2,2,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.229E7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39 ,3.76,2,2,,,,,,,,,,,,,,,,,,,,,,,,,505,54.8,7.93
P15880,40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2 - [RS2_HUMAN],3.75,1,1,1,2,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,4.076E6,0.000E0,0.000E0,3.588E6,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,3.75,1,1,,,,,,,,,1.98 ,3.75,1,1,,,,,,,,,,,,,293,31.3,10.24
Q6NYC8,Phostensin OS=Homo sapiens OX=9606 GN=PPP1R18 PE=1 SV=1 - [PPR18_HUMAN],3.75,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,3.069E6,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,3.75,1,1,,,,,613,67.9,5.40
Q14C86,GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2 - [GAPD1_HUMAN],3.72,1,5,5,11,0.000E0,4.648E6,0.000E0,0.000E0,5.138E5,1.761E6,0.000E0,2.917E6,0.000E0,0.000E0,4.066E6,0.000E0,0.000E0,6.429E6,0.000E0,,,,,5.46 ,1.35,2,2,,,,,,,,,0.00 ,0.74,1,1,2.06 ,0.74,1,1,,,,,4.38 ,1.22,2,2,,,,,,,,,4.98 ,1.35,2,2,,,,,,,,,2.08 ,2.64,3,3,,,,,1478,164.9,5.22
P23284,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2 - [PPIB_HUMAN],3.70,1,1,1,5,5.935E5,0.000E0,0.000E0,0.000E0,0.000E0,2.019E6,0.000E0,0.000E0,2.331E6,0.000E0,0.000E0,2.191E6,9.340E5,0.000E0,0.000E0,1.96 ,3.70,1,1,,,,,,,,,,,,,,,,,2.09 ,3.70,1,1,,,,,,,,,2.37 ,3.70,1,1,,,,,,,,,0.00 ,3.70,1,1,2.08 ,3.70,1,1,,,,,,,,,216,23.7,9.41
Q9UNF0,Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens OX=9606 GN=PACSIN2 PE=1 SV=2 - [PACN2_HUMAN],3.70,1,2,2,2,0.000E0,0.000E0,2.605E6,0.000E0,0.000E0,2.490E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,2.06 ,1.85,1,1,,,,,,,,,2.21 ,1.85,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,55.7,5.20
P40189,Interleukin-6 receptor subunit beta OS=Homo sapiens OX=9606 GN=IL6ST PE=1 SV=2 - [IL6RB_HUMAN],3.70,1,3,3,13,0.000E0,0.000E0,4.072E7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,4.377E7,0.000E0,0.000E0,6.809E7,0.000E0,0.000E0,0.000E0,,,,,,,,,11.60 ,3.70,3,5,,,,,,,,,,,,,,,,,,,,,9.34 ,3.70,3,4,,,,,,,,,8.94 ,3.05,2,4,,,,,,,,,,,,,918,103.5,5.95
Q08AD1,Calmodulin-regulated spectrin-associated protein 2 OS=Homo sapiens OX=9606 GN=CAMSAP2 PE=1 SV=3 - [CAMP2_HUMAN],3.69,1,5,5,6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.754E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,5.121E6,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45 ,2.01,3,3,,,,,,,,,,,,,,,,,,,,,0.00 ,2.35,3,3,,,,,1489,168.0,6.80
P15408,Fos-related antigen 2 OS=Homo sapiens OX=9606 GN=FOSL2 PE=1 SV=1 - [FOSL2_HUMAN],3.68,1,1,1,2,0.000E0,2.196E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,9.495E5,0.000E0,0.000E0,0.000E0,0.000E0,,,,,2.47 ,3.68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01 ,3.68,1,1,,,,,,,,,,,,,,,,,326,35.2,7.49
P85037,Forkhead box protein K1 OS=Homo sapiens OX=9606 GN=FOXK1 PE=1 SV=1 - [FOXK1_HUMAN],3.68,1,1,1,1,0.000E0,2.269E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,3.43 ,3.68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733,75.4,9.32
Q03001,Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4 - [DYST_HUMAN],3.67,1,21,22,51,0.000E0,0.000E0,9.708E7,0.000E0,0.000E0,3.409E6,0.000E0,0.000E0,1.501E7,0.000E0,0.000E0,7.115E7,0.000E0,0.000E0,0.000E0,,,,,,,,,39.14 ,2.31,15,20,,,,,,,,,0.00 ,0.12,1,1,,,,,,,,,19.90 ,2.01,11,13,,,,,,,,,28.33 ,2.21,12,17,,,,,,,,,,,,,7570,860.1,5.25
O15020,"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3 - [SPTN2_HUMAN]",3.64,2,5,7,11,0.000E0,0.000E0,7.958E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,5.859E6,0.000E0,0.000E0,6.437E6,0.000E0,0.000E0,0.000E0,,,,,,,,,5.05 ,1.88,3,3,,,,,,,,,,,,,,,,,,,,,7.15 ,1.76,4,4,,,,,,,,,10.24 ,2.55,4,4,,,,,,,,,,,,,2390,271.2,6.11
P46109,Crk-like protein OS=Homo sapiens OX=9606 GN=CRKL PE=1 SV=1 - [CRKL_HUMAN],3.63,1,1,1,3,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,4.932E6,0.000E0,2.869E6,0.000E0,0.000E0,0.000E0,3.989E6,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,0.00 ,3.63,1,1,,,,,0.00 ,3.63,1,1,,,,,,,,,,,,,0.00 ,3.63,1,1,,,,,,,,,,,,,303,33.8,6.74
Q8TF72,Protein Shroom3 OS=Homo sapiens OX=9606 GN=SHROOM3 PE=1 SV=2 - [SHRM3_HUMAN],3.61,1,5,5,8,0.000E0,0.000E0,1.024E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.895E6,0.000E0,0.000E0,2.786E6,0.000E0,2.372E6,0.000E0,,,,,,,,,0.00 ,0.55,1,1,,,,,,,,,,,,,,,,,,,,,1.83 ,1.60,2,2,,,,,,,,,1.74 ,2.25,3,3,,,,,0.00 ,1.60,2,2,,,,,1996,216.7,7.80
Q9NXR8,Inhibitor of growth protein 3 OS=Homo sapiens OX=9606 GN=ING3 PE=1 SV=2 - [ING3_HUMAN],3.59,1,2,2,2,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,3.892E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82 ,3.59,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,46.7,6.27
Q14118,Dystroglycan OS=Homo sapiens OX=9606 GN=DAG1 PE=1 SV=2 - [DAG1_HUMAN],3.58,1,3,3,36,0.000E0,0.000E0,3.917E7,0.000E0,0.000E0,0.000E0,0.000E0,1.221E6,4.058E7,1.654E7,0.000E0,4.683E7,2.476E7,0.000E0,0.000E0,,,,,,,,,19.42 ,3.58,3,9,,,,,,,,,,,,,,,,,0.00 ,1.45,1,1,28.79 ,3.58,3,12,2.39 ,1.45,1,1,,,,,28.55 ,3.58,3,12,3.81 ,1.45,1,1,,,,,,,,,895,97.4,8.56
