Visible?,Starred?,Identified Proteins (2330),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,T-Test (p-value): (p < 0.05),Fold Change by Category,Quantitative Profile,Taxonomy,A13: Area,B13: Area,C13: Area,D13: Area,E13: Area,F13: Area,G13: Area,H13: Area,I13: Area,J13: Area,K13: Area,L13: Area,M13: Area,N13: Area,O13: Area
TRUE,Empty,Malignant T-cell-amplified sequence 1 OS=Homo sapiens OX=9606 GN=MCTS1 PE=1 SV=1,Q9ULC4,MCTS1,21 kDa,,0.2,2.6,[],unknown,9.11E+07,2.09E+07,0,4.06E+07,1.02E+08,2.41E+08,0,0,2.53E+08,1.78E+08,1.12E+08,1.80E+08,1.19E+08,2.63E+08,2.98E+08
TRUE,Empty,Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2,P49720,PSMB3,23 kDa,,0.27,0.6,[],unknown,2.37E+08,2.67E+08,4.94E+08,2.06E+08,2.80E+08,1.21E+08,0,3.10E+08,4.27E+08,6.39E+07,2.94E+08,0,6.84E+08,3.12E+08,2.43E+08
TRUE,Empty,Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1,O75494,SRSF10,31 kDa,,0.00025,19,"1st low, 2nd high",unknown,0,0,0,4.23E+07,1.22E+08,3.85E+08,4.30E+08,8.53E+08,7.42E+08,6.60E+08,5.55E+08,6.54E+08,1.14E+09,6.04E+08,4.37E+08
TRUE,Empty,Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Homo sapiens OX=9606 GN=UCHL5 PE=1 SV=3,Q9Y5K5,UCHL5,38 kDa,,< 0.00010,13,"1st low, 2nd high",unknown,4.47E+07,0,0,0,2.88E+07,2.22E+08,2.00E+08,2.08E+08,1.48E+08,1.73E+08,1.72E+08,3.33E+07,1.26E+08,2.19E+08,1.03E+08
TRUE,Empty,Glucosamine-6-phosphate isomerase 2 OS=Homo sapiens OX=9606 GN=GNPDA2 PE=1 SV=1,Q8TDQ7,GNPDA2,31 kDa,TRUE,0.51,0.5,[],unknown,0,2.10E+08,0,0,2.28E+08,0,1.95E+07,4.56E+07,1.62E+08,0,0,1.97E+08,0,3.58E+08,1.07E+08
TRUE,Empty,7SK snRNA methylphosphate capping enzyme OS=Homo sapiens OX=9606 GN=MEPCE PE=1 SV=1,Q7L2J0,MEPCE,74 kDa,,0.74,1.2,[],unknown,1.21E+08,2.43E+07,1.32E+08,1.31E+08,4.21E+08,3.30E+08,8.93E+07,2.80E+08,2.27E+08,5.06E+07,3.28E+08,5.70E+08,4.81E+08,3.65E+08,1.16E+08
TRUE,Empty,Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1,Q9HC38,GLOD4,35 kDa,,0.0028,2.5,"1st low, 2nd high",unknown,1.13E+08,1.39E+08,1.40E+08,0,1.86E+08,2.19E+08,2.60E+08,3.20E+08,2.71E+08,3.68E+08,3.34E+08,1.34E+08,1.69E+08,2.42E+08,2.66E+08
TRUE,Empty,Rho-related GTP-binding protein RhoG OS=Homo sapiens OX=9606 GN=RHOG PE=1 SV=1,P84095,RHOG,21 kDa,TRUE,0.6,0.7,[],unknown,1.83E+07,4.74E+07,8.20E+08,7.83E+08,6.24E+08,1.79E+08,0,5.66E+08,4.96E+08,4.79E+08,1.84E+08,8.06E+07,1.95E+08,1.79E+08,8.38E+08
TRUE,Empty,Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens OX=9606 GN=ADRM1 PE=1 SV=2,Q16186,ADRM1,42 kDa,,0.71,0.9,[],unknown,8.00E+07,2.67E+08,3.26E+08,1.34E+08,2.85E+08,1.29E+08,1.06E+08,1.64E+08,2.57E+08,3.17E+08,2.49E+08,1.32E+08,2.31E+08,3.27E+08,2.10E+08
TRUE,Empty,LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1,Q9UHB6,LIMA1,85 kDa,,0.75,0.9,[],unknown,3.98E+07,8.87E+07,1.59E+08,1.61E+08,2.55E+08,2.81E+07,1.42E+08,9.87E+07,2.04E+08,1.55E+08,8.96E+07,1.59E+08,8.37E+07,8.89E+07,1.34E+08
TRUE,Empty,Mitochondrial carrier homolog 1 OS=Homo sapiens OX=9606 GN=MTCH1 PE=1 SV=1,Q9NZJ7,MTCH1,42 kDa,,0.51,0.9,[],unknown,6.62E+08,3.82E+08,5.04E+08,3.75E+08,5.34E+08,3.70E+08,3.03E+08,3.27E+08,7.44E+08,3.77E+08,2.75E+08,3.02E+08,6.98E+08,6.24E+08,2.00E+08
TRUE,Empty,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens OX=9606 GN=PTPN11 PE=1 SV=2,Q06124,PTPN11,68 kDa,,0.034,0.4,"1st high, 2nd low",unknown,1.84E+08,5.97E+07,1.96E+08,1.15E+08,2.59E+08,7.32E+07,4.73E+07,3.77E+07,9.31E+07,9.72E+07,9.24E+07,3.10E+07,1.00E+08,1.21E+08,7.98E+07
TRUE,Empty,Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3,P08133,ANXA6,76 kDa,,0.46,0.6,[],unknown,1.37E+08,2.70E+07,6.99E+07,0,1.59E+08,0,2.32E+07,5.65E+07,1.93E+07,1.40E+08,1.34E+08,1.07E+08,2.30E+08,1.33E+08,2.86E+08
TRUE,Empty,Nucleoporin SEH1 OS=Homo sapiens OX=9606 GN=SEH1L PE=1 SV=3,Q96EE3,SEH1L,40 kDa,,0.72,1.2,[],unknown,1.07E+08,2.20E+08,1.12E+08,0,5.67E+08,2.71E+08,7.29E+07,1.76E+08,4.16E+08,2.82E+08,4.24E+08,7.78E+07,4.57E+08,5.97E+08,3.12E+08
TRUE,Empty,Intestinal-type alkaline phosphatase OS=Homo sapiens OX=9606 GN=ALPI PE=1 SV=2,P09923,ALPI,57 kDa,,1,INF,[],unknown,0,0,0,0,0,0,0,0,0,0,1.15E+09,9.28E+08,8.28E+08,1.35E+09,1.82E+09
TRUE,Empty,NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3,P55769,SNU13,14 kDa,,0.0071,1.9,"1st low, 2nd high",unknown,2.94E+08,2.94E+08,1.50E+08,1.86E+08,4.22E+08,4.08E+08,5.92E+08,6.25E+08,4.01E+08,5.09E+08,4.70E+08,4.31E+08,4.93E+08,3.82E+08,6.48E+08
TRUE,Empty,Transducin beta-like protein 2 OS=Homo sapiens OX=9606 GN=TBL2 PE=1 SV=1,Q9Y4P3,TBL2,50 kDa,,0.36,0.8,[],unknown,1.76E+08,1.17E+08,2.48E+08,1.48E+08,1.71E+08,1.93E+08,1.42E+08,1.85E+08,6.24E+07,1.21E+08,3.70E+08,1.94E+08,3.60E+08,4.33E+08,3.98E+08
TRUE,Empty,40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1,P62857,RPS28,8 kDa,,0.59,1.1,[],unknown,9.83E+08,1.07E+09,1.67E+09,1.96E+09,1.74E+09,9.83E+08,1.47E+09,2.09E+09,1.81E+09,1.86E+09,1.76E+09,2.34E+09,2.10E+09,1.84E+09,1.99E+09
TRUE,Empty,Mitochondrial glutamate carrier 1 OS=Homo sapiens OX=9606 GN=SLC25A22 PE=1 SV=1,Q9H936,SLC25A22,34 kDa,TRUE,0.086,2.3,[],unknown,3.41E+07,7.94E+07,2.14E+08,1.05E+07,1.91E+08,5.08E+07,2.24E+08,3.74E+08,2.21E+08,3.49E+08,8.42E+07,3.93E+07,9.87E+07,7.31E+07,2.16E+08
TRUE,Empty,Peptidyl-prolyl cis-trans isomerase H OS=Homo sapiens OX=9606 GN=PPIH PE=1 SV=1,O43447,PPIH,19 kDa,TRUE,0.064,2.9,[],unknown,6.24E+07,6.35E+07,1.03E+08,0,8.25E+07,0,1.88E+08,3.20E+08,1.94E+08,1.87E+08,3.03E+08,1.72E+08,3.67E+08,3.86E+08,4.77E+08
TRUE,Empty,Sentrin-specific protease 3 OS=Homo sapiens OX=9606 GN=SENP3 PE=1 SV=2,Q9H4L4,SENP3,65 kDa,,0.73,1.1,[],unknown,0,2.61E+08,9.29E+07,1.26E+08,1.83E+08,1.89E+08,1.15E+08,1.05E+08,1.74E+08,1.63E+08,2.24E+08,2.50E+08,3.03E+08,2.10E+08,1.41E+08
TRUE,Empty,Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3,P14923,JUP,82 kDa,,0.013,4.6,"1st low, 2nd high",unknown,3.72E+07,4.51E+07,2.63E+07,5.00E+07,9.59E+07,2.18E+08,1.53E+08,1.13E+08,2.53E+08,4.42E+08,3.97E+07,3.58E+07,5.20E+07,4.21E+07,1.64E+07
TRUE,Empty,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=3",P10515,DLAT,69 kDa,,0.63,0.8,[],unknown,5.94E+07,2.19E+08,8.56E+07,9.93E+07,2.75E+08,9.91E+07,0,1.07E+08,1.65E+08,2.28E+08,3.68E+08,2.48E+08,2.05E+08,2.88E+08,2.14E+08
TRUE,Empty,Polymerase delta-interacting protein 2 OS=Homo sapiens OX=9606 GN=POLDIP2 PE=1 SV=1,Q9Y2S7,POLDIP2,42 kDa,,0.16,1.6,[],unknown,1.49E+08,3.24E+08,1.81E+08,0,2.91E+08,3.89E+08,2.79E+08,1.22E+08,3.83E+08,3.70E+08,3.46E+08,2.31E+08,4.29E+08,2.98E+08,3.17E+08
TRUE,Empty,Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=4,P14735,IDE,118 kDa,,0.29,0.7,[],unknown,7.64E+07,2.06E+08,4.44E+07,1.05E+08,1.07E+08,1.19E+08,3.93E+07,8.74E+07,2.85E+07,8.34E+07,1.71E+08,9.63E+07,8.84E+07,1.48E+08,0
TRUE,Empty,Sideroflexin-3 OS=Homo sapiens OX=9606 GN=SFXN3 PE=1 SV=3,Q9BWM7,SFXN3,36 kDa,TRUE,0.92,1,[],unknown,1.54E+08,2.08E+08,1.71E+08,1.59E+08,3.97E+08,0,1.78E+08,1.90E+08,4.38E+08,2.37E+08,3.15E+07,1.17E+08,1.83E+08,1.56E+08,3.05E+08
TRUE,Empty,Nuclear pore complex protein Nup88 OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=2,Q99567,NUP88,84 kDa,,0.0072,2.6,"1st low, 2nd high",unknown,6.65E+07,5.21E+07,4.33E+07,5.41E+07,1.11E+08,1.31E+08,9.46E+07,2.13E+08,2.46E+08,1.73E+08,3.46E+07,0,1.62E+08,1.52E+08,1.10E+08
TRUE,Empty,Ethylmalonyl-CoA decarboxylase OS=Homo sapiens OX=9606 GN=ECHDC1 PE=1 SV=2,Q9NTX5,ECHDC1,34 kDa,,0.045,3,"1st low, 2nd high",unknown,3.24E+07,8.78E+07,6.65E+07,0,6.43E+07,1.53E+08,9.96E+07,2.89E+08,6.29E+07,1.38E+08,1.39E+08,1.47E+08,8.45E+07,7.41E+07,2.51E+08
TRUE,Empty,Nuclear cap-binding protein subunit 1 OS=Homo sapiens OX=9606 GN=NCBP1 PE=1 SV=1,Q09161,NCBP1,92 kDa,,0.04,2.9,"1st low, 2nd high",unknown,4.10E+07,0,1.21E+08,0,1.47E+08,8.88E+07,1.03E+08,1.93E+08,2.73E+08,2.23E+08,3.19E+08,9.17E+07,2.91E+08,1.68E+08,2.27E+08
TRUE,Empty,"39S ribosomal protein L3, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1",P09001,MRPL3,39 kDa,,0.67,1.3,[],unknown,0,4.10E+07,1.21E+08,0,1.91E+08,0,0,1.66E+08,1.88E+08,1.21E+08,1.76E+08,0,3.32E+08,5.43E+08,1.22E+08
TRUE,Empty,Zinc finger RNA-binding protein OS=Homo sapiens OX=9606 GN=ZFR PE=1 SV=2,Q96KR1,ZFR,117 kDa,,0.00032,5.8,"1st low, 2nd high",unknown,0,5.71E+07,0,6.38E+07,2.32E+07,1.97E+08,1.28E+08,1.69E+08,2.23E+08,1.26E+08,7.20E+07,3.70E+09,3.02E+08,1.19E+08,9.74E+07
TRUE,Empty,Integrin alpha-1 OS=Homo sapiens OX=9606 GN=ITGA1 PE=1 SV=2,P56199,ITGA1,131 kDa,,< 0.00010,0,"1st high, 2nd low",unknown,3.28E+08,2.42E+08,2.91E+08,1.57E+08,2.04E+08,0,0,0,0,0,0,0,0,0,0
TRUE,Empty,Minor histocompatibility antigen H13 OS=Homo sapiens OX=9606 GN=HM13 PE=1 SV=1,Q8TCT9,HM13,41 kDa,,0.012,0.7,"1st high, 2nd low",unknown,2.53E+08,2.48E+08,2.50E+08,1.82E+08,2.56E+08,1.39E+08,1.65E+08,1.67E+08,9.99E+07,2.23E+08,2.44E+08,1.46E+08,2.34E+08,2.33E+08,2.10E+08
TRUE,Empty,Prostaglandin reductase 1 OS=Homo sapiens OX=9606 GN=PTGR1 PE=1 SV=2,Q14914,PTGR1,36 kDa,,0.34,0.7,[],unknown,2.23E+08,7.55E+07,7.10E+07,8.12E+07,1.01E+08,1.21E+08,8.05E+07,6.74E+07,6.38E+07,6.40E+07,2.38E+08,0,1.32E+08,1.04E+08,1.10E+08
TRUE,Empty,Ribosomal biogenesis protein LAS1L OS=Homo sapiens OX=9606 GN=LAS1L PE=1 SV=2,Q9Y4W2,LAS1L,83 kDa,,0.2,2.1,[],unknown,5.56E+07,6.09E+07,6.14E+07,2.79E+07,3.53E+07,1.30E+08,0,8.59E+07,6.34E+07,2.19E+08,1.95E+08,9.20E+07,1.12E+08,1.48E+08,2.25E+08
TRUE,Empty,Sorbitol dehydrogenase OS=Homo sapiens OX=9606 GN=SORD PE=1 SV=4,Q00796,SORD,38 kDa,,0.33,0.8,[],unknown,2.43E+08,1.83E+08,1.09E+08,1.27E+08,1.89E+08,1.68E+08,1.12E+08,1.22E+08,2.12E+08,4.03E+07,1.73E+08,1.17E+08,1.75E+08,1.58E+08,1.95E+08
TRUE,Empty,5'-3' exoribonuclease 1 OS=Homo sapiens OX=9606 GN=XRN1 PE=1 SV=1,Q8IZH2,XRN1,194 kDa,,0.06,4.4,[],unknown,3.55E+07,0,0,0,3.39E+07,6.09E+07,1.35E+08,5.73E+07,2.75E+07,2.51E+07,0,0,4.71E+07,2.72E+07,2.63E+07
TRUE,Empty,Eukaryotic translation initiation factor 1 OS=Homo sapiens OX=9606 GN=EIF1 PE=1 SV=1,P41567,EIF1,13 kDa,,0.0087,3.3,"1st low, 2nd high",unknown,1.51E+08,1.23E+08,1.82E+08,1.37E+08,1.77E+08,4.02E+08,2.98E+08,4.70E+08,4.54E+08,8.84E+08,8.74E+08,4.89E+08,6.00E+08,2.64E+08,7.16E+08
TRUE,Empty,Nicotinamide N-methyltransferase OS=Homo sapiens OX=9606 GN=NNMT PE=1 SV=1,P40261,NNMT,30 kDa,,0.028,2.3,"1st low, 2nd high",unknown,1.27E+08,1.09E+08,6.94E+07,1.21E+08,3.21E+08,2.65E+08,3.14E+08,5.08E+08,1.90E+08,4.67E+08,4.41E+08,7.49E+07,2.78E+08,9.29E+07,2.54E+08
TRUE,Empty,Fatty aldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1,P51648,ALDH3A2,55 kDa,,0.00039,3,"1st low, 2nd high",unknown,3.34E+07,7.17E+07,6.92E+07,7.90E+07,1.65E+08,3.09E+08,2.65E+08,2.23E+08,2.66E+08,1.99E+08,3.65E+08,1.55E+08,1.99E+08,2.06E+08,2.29E+08
TRUE,Empty,D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3,P30046,DDT,13 kDa,,0.52,1.2,[],unknown,1.35E+08,1.75E+08,1.95E+08,1.54E+08,2.98E+08,4.55E+08,1.65E+08,1.51E+08,2.95E+08,1.18E+08,2.86E+08,7.97E+07,2.80E+08,3.00E+08,7.35E+07
TRUE,Empty,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG1 PE=1 SV=4",P53597,SUCLG1,36 kDa,,0.064,1.9,[],unknown,3.56E+08,2.19E+08,5.02E+08,0,3.83E+08,4.41E+08,3.21E+08,5.03E+08,7.56E+08,7.17E+08,7.98E+08,3.26E+08,3.39E+08,6.31E+08,7.24E+08
TRUE,Empty,Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1,O15372,EIF3H,40 kDa,,0.41,0.8,[],unknown,3.55E+08,2.78E+08,1.99E+08,4.47E+08,5.28E+08,0,2.61E+08,2.28E+08,5.40E+08,3.27E+08,0,1.33E+08,3.94E+08,0,2.20E+08
TRUE,Empty,RNA-binding protein NOB1 OS=Homo sapiens OX=9606 GN=NOB1 PE=1 SV=1,Q9ULX3,NOB1,47 kDa,,0.11,1.5,[],unknown,7.25E+07,1.26E+08,1.53E+08,0,1.39E+08,1.62E+08,1.39E+08,1.50E+08,1.76E+08,1.27E+08,2.04E+08,1.23E+08,1.41E+08,1.63E+08,9.42E+07
TRUE,Empty,Protein SGT1 homolog OS=Homo sapiens OX=9606 GN=SUGT1 PE=1 SV=3,Q9Y2Z0,SUGT1,41 kDa,,0.0077,3.6,"1st low, 2nd high",unknown,3.09E+07,1.24E+08,1.09E+08,0,2.19E+08,2.93E+08,1.73E+08,5.45E+08,3.82E+08,3.59E+08,3.33E+08,2.12E+08,2.28E+08,1.54E+08,2.22E+08
TRUE,Empty,"Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2",P54819,AK2,26 kDa,,0.079,2.6,[],unknown,0,1.51E+08,1.81E+08,0,4.67E+08,2.68E+08,1.68E+08,3.81E+08,6.58E+08,6.12E+08,5.00E+08,3.52E+08,7.61E+08,6.44E+08,2.80E+08
TRUE,Empty,Importin-4 OS=Homo sapiens OX=9606 GN=IPO4 PE=1 SV=2,Q8TEX9,IPO4,119 kDa,,0.14,5.5,[],unknown,0,0,1.39E+07,0,6.85E+07,5.87E+07,0,8.22E+07,5.58E+07,2.59E+08,2.10E+08,2.43E+07,1.74E+08,1.76E+08,1.48E+08
TRUE,Empty,THO complex subunit 3 OS=Homo sapiens OX=9606 GN=THOC3 PE=1 SV=1,Q96J01,THOC3,39 kDa,,0.057,1.9,[],unknown,4.69E+07,8.87E+07,5.14E+07,4.83E+07,1.68E+08,2.46E+08,1.21E+08,1.61E+08,1.43E+08,1.07E+08,2.05E+08,7.25E+07,1.74E+08,1.11E+08,1.91E+08
TRUE,Empty,BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1,O95816,BAG2,24 kDa,,0.099,2.3,[],unknown,1.41E+08,5.97E+07,1.25E+08,0,2.39E+08,4.33E+08,4.91E+07,3.60E+08,2.78E+08,1.80E+08,1.09E+08,6.25E+07,2.38E+08,2.69E+08,9.21E+07
TRUE,Empty,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=DUT PE=1 SV=4",P33316,DUT,27 kDa,,0.094,1.8,[],unknown,1.02E+08,3.91E+08,3.15E+08,0,4.67E+08,4.34E+08,3.64E+08,3.04E+08,6.08E+08,5.69E+08,4.97E+08,3.43E+08,2.65E+08,7.08E+08,5.23E+08
TRUE,Empty,Septin-10 OS=Homo sapiens OX=9606 GN=SEPT10 PE=1 SV=2,Q9P0V9,10-Sep,53 kDa,TRUE,0.4,1.8,[],unknown,0,5.69E+07,2.88E+07,0,1.03E+08,9.81E+07,0,2.65E+07,4.99E+07,1.74E+08,1.03E+08,0,8.65E+07,1.24E+08,9.62E+07
TRUE,Empty,Transmembrane 9 superfamily member 2 OS=Homo sapiens OX=9606 GN=TM9SF2 PE=1 SV=1,Q99805,TM9SF2,76 kDa,,0.96,1,[],unknown,1.45E+08,5.34E+08,4.46E+08,0,6.57E+08,4.32E+08,0,2.08E+08,8.00E+08,2.97E+08,1.44E+08,3.59E+08,4.98E+08,6.50E+08,1.55E+08
TRUE,Empty,Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1,Q08380,LGALS3BP,65 kDa,,0.0065,6,"1st low, 2nd high",unknown,6.60E+07,6.33E+07,0,0,4.69E+07,3.02E+08,4.82E+07,2.83E+08,2.37E+08,1.80E+08,9.77E+07,0,1.34E+08,1.96E+08,0
TRUE,Empty,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens OX=9606 GN=ECH1 PE=1 SV=2",Q13011,ECH1,36 kDa,,< 0.00010,0.04,"1st high, 2nd low",unknown,2.24E+08,1.43E+08,2.77E+08,2.34E+08,1.83E+08,2.49E+07,0,1.25E+07,0,0,1.79E+08,2.31E+08,8.89E+07,2.72E+08,3.62E+08
TRUE,Empty,DnaJ homolog subfamily C member 13 OS=Homo sapiens OX=9606 GN=DNAJC13 PE=1 SV=5,O75165,DNAJC13,254 kDa,,0.039,INF,"1st low, 2nd high",unknown,0,0,0,0,0,7.16E+07,0,7.11E+07,1.65E+08,3.30E+07,1.09E+08,0,7.27E+07,1.35E+08,3.47E+07
TRUE,Empty,Annexin A4 OS=Homo sapiens OX=9606 GN=ANXA4 PE=1 SV=4,P09525,ANXA4,36 kDa,,0.4,1.3,[],unknown,1.04E+08,5.11E+07,5.19E+07,4.64E+07,1.21E+08,9.46E+07,9.03E+07,1.90E+08,3.49E+07,9.55E+07,1.56E+08,1.01E+08,1.06E+08,1.09E+08,9.43E+07
TRUE,Empty,Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TMED9 PE=1 SV=2,Q9BVK6,TMED9,27 kDa,TRUE,0.092,1.2,[],unknown,2.00E+08,1.95E+08,2.31E+08,2.35E+08,3.27E+08,3.06E+08,2.25E+08,2.99E+08,3.29E+08,3.14E+08,4.33E+08,2.87E+08,3.26E+08,3.84E+08,2.89E+08
TRUE,Empty,Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1,Q8IY67,RAVER1,64 kDa,,0.11,0.5,[],unknown,2.65E+07,1.31E+08,1.81E+08,7.10E+07,1.23E+08,5.08E+07,6.97E+07,0,8.29E+07,5.57E+07,3.81E+08,3.33E+08,3.66E+08,2.21E+08,1.87E+08
TRUE,Empty,Signal recognition particle 9 kDa protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=2,P49458,SRP9,10 kDa,,0.65,1.2,[],unknown,4.54E+08,3.05E+08,1.02E+09,3.41E+07,1.00E+09,8.93E+08,4.46E+08,6.71E+08,8.24E+08,4.84E+08,1.00E+09,1.42E+09,8.69E+08,6.64E+08,1.33E+09
TRUE,Empty,Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1,Q96C36,PYCR2,34 kDa,TRUE,0.12,2.4,[],unknown,0,7.90E+07,1.37E+08,0,3.09E+08,3.01E+08,2.15E+07,2.63E+08,3.91E+08,2.86E+08,3.41E+08,2.60E+08,4.38E+08,3.86E+08,3.30E+08
TRUE,Empty,Quinone oxidoreductase OS=Homo sapiens OX=9606 GN=CRYZ PE=1 SV=1,Q08257,CRYZ,35 kDa,,0.63,1.3,[],unknown,4.63E+07,7.08E+07,7.41E+07,5.20E+07,3.97E+08,1.00E+08,1.98E+08,6.29E+07,2.91E+08,1.83E+08,2.83E+08,0,8.11E+07,3.49E+08,6.49E+07
TRUE,Empty,Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1,Q13501,SQSTM1,48 kDa,,0.11,0.3,[],unknown,3.93E+08,3.86E+08,2.61E+08,0,3.63E+07,8.30E+07,0,5.24E+07,5.82E+07,1.08E+08,1.61E+08,4.76E+08,2.42E+08,2.62E+08,1.54E+08
TRUE,Empty,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1 PE=1 SV=3",O60313,OPA1,112 kDa,,0.00028,24,"1st low, 2nd high",unknown,0,2.55E+07,0,0,1.56E+07,1.17E+08,1.35E+08,2.09E+08,2.60E+08,2.59E+08,6.15E+07,0,4.05E+07,5.74E+07,1.15E+08
TRUE,Empty,GTP-binding protein SAR1b OS=Homo sapiens OX=9606 GN=SAR1B PE=1 SV=1,Q9Y6B6,SAR1B,22 kDa,TRUE,0.055,0,[],unknown,4.46E+08,3.52E+08,0,2.21E+08,0,0,0,0,0,0,1.66E+08,0,6.01E+08,6.95E+08,0
TRUE,Empty,"ATP synthase subunit g, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MG PE=1 SV=3",O75964,ATP5MG,11 kDa,,0.03,1.6,"1st low, 2nd high",unknown,3.20E+08,3.60E+08,4.10E+08,2.53E+08,4.18E+08,5.53E+08,4.61E+08,4.36E+08,5.36E+08,8.67E+08,6.02E+08,3.62E+08,5.85E+08,3.16E+08,6.84E+08
TRUE,Empty,RNA exonuclease 4 OS=Homo sapiens OX=9606 GN=REXO4 PE=1 SV=2,Q9GZR2,REXO4,47 kDa,,0.2,0.6,[],unknown,2.88E+08,6.38E+07,1.30E+08,2.45E+08,1.13E+08,1.33E+08,1.01E+08,1.46E+08,7.59E+07,7.01E+07,6.63E+07,0,9.78E+07,8.15E+07,1.02E+08
TRUE,Empty,Nuclear transport factor 2 OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1,P61970,NUTF2,14 kDa,,0.34,1.7,[],unknown,1.47E+08,1.66E+08,1.32E+08,0,0,1.58E+08,0,1.17E+08,3.37E+08,1.65E+08,2.50E+08,0,1.50E+08,0,0
TRUE,Empty,Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3,Q13409,DYNC1I2,71 kDa,,0.0034,0.5,"1st high, 2nd low",unknown,2.63E+08,2.64E+08,2.04E+08,3.34E+08,2.15E+08,1.70E+08,1.18E+08,1.20E+08,3.82E+07,1.61E+08,9.70E+07,7.31E+07,9.21E+07,1.24E+08,1.97E+08
TRUE,Empty,Phosphatidylserine synthase 1 OS=Homo sapiens OX=9606 GN=PTDSS1 PE=1 SV=1,P48651,PTDSS1,56 kDa,,0.28,1.7,[],unknown,3.36E+07,2.40E+08,1.87E+08,6.03E+07,3.46E+08,4.89E+08,1.03E+08,1.25E+08,4.59E+08,2.70E+08,2.98E+08,1.82E+08,5.12E+08,6.42E+08,1.20E+08
TRUE,Empty,DNA polymerase delta subunit 3 OS=Homo sapiens OX=9606 GN=POLD3 PE=1 SV=2,Q15054,POLD3,51 kDa,,0.034,0.7,"1st high, 2nd low",unknown,1.54E+08,1.70E+08,1.28E+08,1.60E+08,1.74E+08,9.01E+07,6.18E+07,1.44E+08,1.45E+08,1.16E+08,2.47E+08,3.30E+08,1.49E+08,3.23E+08,8.23E+07
TRUE,Empty,Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens OX=9606 GN=VAT1 PE=1 SV=2,Q99536,VAT1,42 kDa,,0.1,1.5,[],unknown,1.71E+08,2.15E+08,1.47E+08,0,2.03E+08,2.21E+08,2.35E+08,2.65E+08,1.86E+08,2.05E+08,8.97E+07,7.50E+07,1.48E+08,2.40E+08,0
TRUE,Empty,Proteasome subunit beta type-7 OS=Homo sapiens OX=9606 GN=PSMB7 PE=1 SV=1,Q99436,PSMB7,30 kDa,,0.013,3.5,"1st low, 2nd high",unknown,1.81E+08,1.09E+08,0,1.04E+08,0,3.24E+08,3.92E+08,3.14E+08,9.18E+07,2.48E+08,4.55E+07,0,4.16E+07,1.04E+08,2.52E+08
